DealNumber,CustomerName,DealershipName,Vehicle,Price,Date
6372,Aroush Knapp,Maxwell & Junior,2137 Porsche 911 2dr Cpe GT3 RS,"-13,686,531",6/7/2018
6373,Anwar Hoffman,"Legowart Kingorty, Ltd.",2139 Jeep Grand Cherokee Trackhawk,"-13,715,230",5/11/2018
6374,Ronnie Griffiths,Cheruharrison Auto,2139 Nissan GT-R Premium,"-13,743,929",4/8/2018
6375,Storm William,Mythicgarcia Dealership LTDA,2140 Mercedes-Benz S-Class Cabriolet,"-13,772,628",3/22/2018
6376,Aroush Knapp,Maxwell & Junior,2138 Porsche 911 2dr Cpe GT3 RS,"-13,801,327",6/7/2018
6377,Anwar Hoffman,"Legowart Kingorty, Ltd.",2140 Jeep Grand Cherokee Trackhawk,"-13,830,026",5/11/2018
6378,Ronnie Griffiths,Cheruharrison Auto,2140 Nissan GT-R Premium,"-13,858,725",4/8/2018
6379,Storm William,Mythicgarcia Dealership LTDA,2141 Mercedes-Benz S-Class Cabriolet,"-13,887,424",3/22/2018
6380,Aroush Knapp,Maxwell & Junior,2139 Porsche 911 2dr Cpe GT3 RS,"-13,916,123",6/7/2018
6381,Anwar Hoffman,"Legowart Kingorty, Ltd.",2141 Jeep Grand Cherokee Trackhawk,"-13,944,822",5/11/2018
6382,Ronnie Griffiths,Cheruharrison Auto,2141 Nissan GT-R Premium,"-13,973,520",4/8/2018
6383,Storm William,Mythicgarcia Dealership LTDA,2142 Mercedes-Benz S-Class Cabriolet,"-14,002,219",3/22/2018
6384,Aroush Knapp,Maxwell & Junior,2140 Porsche 911 2dr Cpe GT3 RS,"-14,030,918",6/7/2018
6385,Anwar Hoffman,"Legowart Kingorty, Ltd.",2142 Jeep Grand Cherokee Trackhawk,"-14,059,617",5/11/2018
6386,Ronnie Griffiths,Cheruharrison Auto,2142 Nissan GT-R Premium,"-14,088,316",4/8/2018
6387,Storm William,Mythicgarcia Dealership LTDA,2143 Mercedes-Benz S-Class Cabriolet,"-14,117,015",3/22/2018
6388,Aroush Knapp,Maxwell & Junior,2141 Porsche 911 2dr Cpe GT3 RS,"-14,145,714",6/7/2018
6389,Anwar Hoffman,"Legowart Kingorty, Ltd.",2143 Jeep Grand Cherokee Trackhawk,"-14,174,413",5/11/2018
6390,Ronnie Griffiths,Cheruharrison Auto,2143 Nissan GT-R Premium,"-14,203,112",4/8/2018
6391,Storm William,Mythicgarcia Dealership LTDA,2144 Mercedes-Benz S-Class Cabriolet,"-14,231,811",3/22/2018
6392,Aroush Knapp,Maxwell & Junior,2142 Porsche 911 2dr Cpe GT3 RS,"-14,260,509",6/7/2018
6393,Anwar Hoffman,"Legowart Kingorty, Ltd.",2144 Jeep Grand Cherokee Trackhawk,"-14,289,208",5/11/2018
6394,Ronnie Griffiths,Cheruharrison Auto,2144 Nissan GT-R Premium,"-14,317,907",4/8/2018
6395,Storm William,Mythicgarcia Dealership LTDA,2145 Mercedes-Benz S-Class Cabriolet,"-14,346,606",3/22/2018
6396,Aroush Knapp,Maxwell & Junior,2143 Porsche 911 2dr Cpe GT3 RS,"-14,375,305",6/7/2018
6397,Anwar Hoffman,"Legowart Kingorty, Ltd.",2145 Jeep Grand Cherokee Trackhawk,"-14,404,004",5/11/2018
6398,Ronnie Griffiths,Cheruharrison Auto,2145 Nissan GT-R Premium,"-14,432,703",4/8/2018
6399,Storm William,Mythicgarcia Dealership LTDA,2146 Mercedes-Benz S-Class Cabriolet,"-14,461,402",3/22/2018
6400,Aroush Knapp,Maxwell & Junior,2144 Porsche 911 2dr Cpe GT3 RS,"-14,490,101",6/7/2018
6401,Anwar Hoffman,"Legowart Kingorty, Ltd.",2146 Jeep Grand Cherokee Trackhawk,"-14,518,800",5/11/2018
6402,Ronnie Griffiths,Cheruharrison Auto,2146 Nissan GT-R Premium,"-14,547,498",4/8/2018
6403,Storm William,Mythicgarcia Dealership LTDA,2147 Mercedes-Benz S-Class Cabriolet,"-14,576,197",3/22/2018
6404,Aroush Knapp,Maxwell & Junior,2145 Porsche 911 2dr Cpe GT3 RS,"-14,604,896",6/7/2018
6405,Anwar Hoffman,"Legowart Kingorty, Ltd.",2147 Jeep Grand Cherokee Trackhawk,"-14,633,595",5/11/2018
6406,Ronnie Griffiths,Cheruharrison Auto,2147 Nissan GT-R Premium,"-14,662,294",4/8/2018
6407,Storm William,Mythicgarcia Dealership LTDA,2148 Mercedes-Benz S-Class Cabriolet,"-14,690,993",3/22/2018
6408,Aroush Knapp,Maxwell & Junior,2146 Porsche 911 2dr Cpe GT3 RS,"-14,719,692",6/7/2018
6409,Anwar Hoffman,"Legowart Kingorty, Ltd.",2148 Jeep Grand Cherokee Trackhawk,"-14,748,391",5/11/2018
6410,Ronnie Griffiths,Cheruharrison Auto,2148 Nissan GT-R Premium,"-14,777,090",4/8/2018
6411,Storm William,Mythicgarcia Dealership LTDA,2149 Mercedes-Benz S-Class Cabriolet,"-14,805,789",3/22/2018
6412,Aroush Knapp,Maxwell & Junior,2147 Porsche 911 2dr Cpe GT3 RS,"-14,834,487",6/7/2018
6413,Anwar Hoffman,"Legowart Kingorty, Ltd.",2149 Jeep Grand Cherokee Trackhawk,"-14,863,186",5/11/2018
6414,Ronnie Griffiths,Cheruharrison Auto,2149 Nissan GT-R Premium,"-14,891,885",4/8/2018
6415,Storm William,Mythicgarcia Dealership LTDA,2150 Mercedes-Benz S-Class Cabriolet,"-14,920,584",3/22/2018
6416,Aroush Knapp,Maxwell & Junior,2148 Porsche 911 2dr Cpe GT3 RS,"-14,949,283",6/7/2018
6417,Anwar Hoffman,"Legowart Kingorty, Ltd.",2150 Jeep Grand Cherokee Trackhawk,"-14,977,982",5/11/2018
6418,Ronnie Griffiths,Cheruharrison Auto,2150 Nissan GT-R Premium,"-15,006,681",4/8/2018
6419,Storm William,Mythicgarcia Dealership LTDA,2151 Mercedes-Benz S-Class Cabriolet,"-15,035,380",3/22/2018
6420,Aroush Knapp,Maxwell & Junior,2149 Porsche 911 2dr Cpe GT3 RS,"-15,064,079",6/7/2018
6421,Anwar Hoffman,"Legowart Kingorty, Ltd.",2151 Jeep Grand Cherokee Trackhawk,"-15,092,778",5/11/2018
6422,Ronnie Griffiths,Cheruharrison Auto,2151 Nissan GT-R Premium,"-15,121,476",4/8/2018
6423,Storm William,Mythicgarcia Dealership LTDA,2152 Mercedes-Benz S-Class Cabriolet,"-15,150,175",3/22/2018
6424,Aroush Knapp,Maxwell & Junior,2150 Porsche 911 2dr Cpe GT3 RS,"-15,178,874",6/7/2018
6425,Anwar Hoffman,"Legowart Kingorty, Ltd.",2152 Jeep Grand Cherokee Trackhawk,"-15,207,573",5/11/2018
6426,Ronnie Griffiths,Cheruharrison Auto,2152 Nissan GT-R Premium,"-15,236,272",4/8/2018
6427,Storm William,Mythicgarcia Dealership LTDA,2153 Mercedes-Benz S-Class Cabriolet,"-15,264,971",3/22/2018
6428,Aroush Knapp,Maxwell & Junior,2151 Porsche 911 2dr Cpe GT3 RS,"-15,293,670",6/7/2018
6429,Anwar Hoffman,"Legowart Kingorty, Ltd.",2153 Jeep Grand Cherokee Trackhawk,"-15,322,369",5/11/2018
6430,Ronnie Griffiths,Cheruharrison Auto,2153 Nissan GT-R Premium,"-15,351,068",4/8/2018
6431,Storm William,Mythicgarcia Dealership LTDA,2154 Mercedes-Benz S-Class Cabriolet,"-15,379,767",3/22/2018
6432,Aroush Knapp,Maxwell & Junior,2152 Porsche 911 2dr Cpe GT3 RS,"-15,408,465",6/7/2018
6433,Anwar Hoffman,"Legowart Kingorty, Ltd.",2154 Jeep Grand Cherokee Trackhawk,"-15,437,164",5/11/2018
6434,Ronnie Griffiths,Cheruharrison Auto,2154 Nissan GT-R Premium,"-15,465,863",4/8/2018
6435,Storm William,Mythicgarcia Dealership LTDA,2155 Mercedes-Benz S-Class Cabriolet,"-15,494,562",3/22/2018
6436,Aroush Knapp,Maxwell & Junior,2153 Porsche 911 2dr Cpe GT3 RS,"-15,523,261",6/7/2018
6437,Anwar Hoffman,"Legowart Kingorty, Ltd.",2155 Jeep Grand Cherokee Trackhawk,"-15,551,960",5/11/2018
6438,Ronnie Griffiths,Cheruharrison Auto,2155 Nissan GT-R Premium,"-15,580,659",4/8/2018
6439,Storm William,Mythicgarcia Dealership LTDA,2156 Mercedes-Benz S-Class Cabriolet,"-15,609,358",3/22/2018
6440,Aroush Knapp,Maxwell & Junior,2154 Porsche 911 2dr Cpe GT3 RS,"-15,638,057",6/7/2018
6441,Anwar Hoffman,"Legowart Kingorty, Ltd.",2156 Jeep Grand Cherokee Trackhawk,"-15,666,756",5/11/2018
6442,Ronnie Griffiths,Cheruharrison Auto,2156 Nissan GT-R Premium,"-15,695,454",4/8/2018
6443,Storm William,Mythicgarcia Dealership LTDA,2157 Mercedes-Benz S-Class Cabriolet,"-15,724,153",3/22/2018
6444,Aroush Knapp,Maxwell & Junior,2155 Porsche 911 2dr Cpe GT3 RS,"-15,752,852",6/7/2018
6445,Anwar Hoffman,"Legowart Kingorty, Ltd.",2157 Jeep Grand Cherokee Trackhawk,"-15,781,551",5/11/2018
6446,Ronnie Griffiths,Cheruharrison Auto,2157 Nissan GT-R Premium,"-15,810,250",4/8/2018
6447,Storm William,Mythicgarcia Dealership LTDA,2158 Mercedes-Benz S-Class Cabriolet,"-15,838,949",3/22/2018
6448,Aroush Knapp,Maxwell & Junior,2156 Porsche 911 2dr Cpe GT3 RS,"-15,867,648",6/7/2018
6449,Anwar Hoffman,"Legowart Kingorty, Ltd.",2158 Jeep Grand Cherokee Trackhawk,"-15,896,347",5/11/2018
6450,Ronnie Griffiths,Cheruharrison Auto,2158 Nissan GT-R Premium,"-15,925,046",4/8/2018
6451,Storm William,Mythicgarcia Dealership LTDA,2159 Mercedes-Benz S-Class Cabriolet,"-15,953,745",3/22/2018
6452,Aroush Knapp,Maxwell & Junior,2157 Porsche 911 2dr Cpe GT3 RS,"-15,982,443",6/7/2018
6453,Anwar Hoffman,"Legowart Kingorty, Ltd.",2159 Jeep Grand Cherokee Trackhawk,"-16,011,142",5/11/2018
6454,Ronnie Griffiths,Cheruharrison Auto,2159 Nissan GT-R Premium,"-16,039,841",4/8/2018
6455,Storm William,Mythicgarcia Dealership LTDA,2160 Mercedes-Benz S-Class Cabriolet,"-16,068,540",3/22/2018
6456,Aroush Knapp,Maxwell & Junior,2158 Porsche 911 2dr Cpe GT3 RS,"-16,097,239",6/7/2018
6457,Anwar Hoffman,"Legowart Kingorty, Ltd.",2160 Jeep Grand Cherokee Trackhawk,"-16,125,938",5/11/2018
6458,Ronnie Griffiths,Cheruharrison Auto,2160 Nissan GT-R Premium,"-16,154,637",4/8/2018
6459,Storm William,Mythicgarcia Dealership LTDA,2161 Mercedes-Benz S-Class Cabriolet,"-16,183,336",3/22/2018
6460,Aroush Knapp,Maxwell & Junior,2159 Porsche 911 2dr Cpe GT3 RS,"-16,212,035",6/7/2018
6461,Anwar Hoffman,"Legowart Kingorty, Ltd.",2161 Jeep Grand Cherokee Trackhawk,"-16,240,734",5/11/2018
6462,Ronnie Griffiths,Cheruharrison Auto,2161 Nissan GT-R Premium,"-16,269,432",4/8/2018
6463,Storm William,Mythicgarcia Dealership LTDA,2162 Mercedes-Benz S-Class Cabriolet,"-16,298,131",3/22/2018
6464,Aroush Knapp,Maxwell & Junior,2160 Porsche 911 2dr Cpe GT3 RS,"-16,326,830",6/7/2018
6465,Anwar Hoffman,"Legowart Kingorty, Ltd.",2162 Jeep Grand Cherokee Trackhawk,"-16,355,529",5/11/2018
6466,Ronnie Griffiths,Cheruharrison Auto,2162 Nissan GT-R Premium,"-16,384,228",4/8/2018
6467,Storm William,Mythicgarcia Dealership LTDA,2163 Mercedes-Benz S-Class Cabriolet,"-16,412,927",3/22/2018
6468,Aroush Knapp,Maxwell & Junior,2161 Porsche 911 2dr Cpe GT3 RS,"-16,441,626",6/7/2018
6469,Anwar Hoffman,"Legowart Kingorty, Ltd.",2163 Jeep Grand Cherokee Trackhawk,"-16,470,325",5/11/2018
6470,Ronnie Griffiths,Cheruharrison Auto,2163 Nissan GT-R Premium,"-16,499,024",4/8/2018
6471,Storm William,Mythicgarcia Dealership LTDA,2164 Mercedes-Benz S-Class Cabriolet,"-16,527,723",3/22/2018
6472,Aroush Knapp,Maxwell & Junior,2162 Porsche 911 2dr Cpe GT3 RS,"-16,556,421",6/7/2018
6473,Anwar Hoffman,"Legowart Kingorty, Ltd.",2164 Jeep Grand Cherokee Trackhawk,"-16,585,120",5/11/2018
6474,Ronnie Griffiths,Cheruharrison Auto,2164 Nissan GT-R Premium,"-16,613,819",4/8/2018
6475,Storm William,Mythicgarcia Dealership LTDA,2165 Mercedes-Benz S-Class Cabriolet,"-16,642,518",3/22/2018
6476,Aroush Knapp,Maxwell & Junior,2163 Porsche 911 2dr Cpe GT3 RS,"-16,671,217",6/7/2018
6477,Anwar Hoffman,"Legowart Kingorty, Ltd.",2165 Jeep Grand Cherokee Trackhawk,"-16,699,916",5/11/2018
6478,Ronnie Griffiths,Cheruharrison Auto,2165 Nissan GT-R Premium,"-16,728,615",4/8/2018
6479,Storm William,Mythicgarcia Dealership LTDA,2166 Mercedes-Benz S-Class Cabriolet,"-16,757,314",3/22/2018
6480,Aroush Knapp,Maxwell & Junior,2164 Porsche 911 2dr Cpe GT3 RS,"-16,786,013",6/7/2018
6481,Anwar Hoffman,"Legowart Kingorty, Ltd.",2166 Jeep Grand Cherokee Trackhawk,"-16,814,712",5/11/2018
6482,Ronnie Griffiths,Cheruharrison Auto,2166 Nissan GT-R Premium,"-16,843,410",4/8/2018
6483,Storm William,Mythicgarcia Dealership LTDA,2167 Mercedes-Benz S-Class Cabriolet,"-16,872,109",3/22/2018
6484,Aroush Knapp,Maxwell & Junior,2165 Porsche 911 2dr Cpe GT3 RS,"-16,900,808",6/7/2018
6485,Anwar Hoffman,"Legowart Kingorty, Ltd.",2167 Jeep Grand Cherokee Trackhawk,"-16,929,507",5/11/2018
6486,Ronnie Griffiths,Cheruharrison Auto,2167 Nissan GT-R Premium,"-16,958,206",4/8/2018
6487,Storm William,Mythicgarcia Dealership LTDA,2168 Mercedes-Benz S-Class Cabriolet,"-16,986,905",3/22/2018
6488,Aroush Knapp,Maxwell & Junior,2166 Porsche 911 2dr Cpe GT3 RS,"-17,015,604",6/7/2018
6489,Anwar Hoffman,"Legowart Kingorty, Ltd.",2168 Jeep Grand Cherokee Trackhawk,"-17,044,303",5/11/2018
6490,Ronnie Griffiths,Cheruharrison Auto,2168 Nissan GT-R Premium,"-17,073,002",4/8/2018
6491,Storm William,Mythicgarcia Dealership LTDA,2169 Mercedes-Benz S-Class Cabriolet,"-17,101,701",3/22/2018
6492,Aroush Knapp,Maxwell & Junior,2167 Porsche 911 2dr Cpe GT3 RS,"-17,130,399",6/7/2018
6493,Anwar Hoffman,"Legowart Kingorty, Ltd.",2169 Jeep Grand Cherokee Trackhawk,"-17,159,098",5/11/2018
6494,Ronnie Griffiths,Cheruharrison Auto,2169 Nissan GT-R Premium,"-17,187,797",4/8/2018
6495,Storm William,Mythicgarcia Dealership LTDA,2170 Mercedes-Benz S-Class Cabriolet,"-17,216,496",3/22/2018
6496,Aroush Knapp,Maxwell & Junior,2168 Porsche 911 2dr Cpe GT3 RS,"-17,245,195",6/7/2018
6497,Anwar Hoffman,"Legowart Kingorty, Ltd.",2170 Jeep Grand Cherokee Trackhawk,"-17,273,894",5/11/2018
6498,Ronnie Griffiths,Cheruharrison Auto,2170 Nissan GT-R Premium,"-17,302,593",4/8/2018
6499,Storm William,Mythicgarcia Dealership LTDA,2171 Mercedes-Benz S-Class Cabriolet,"-17,331,292",3/22/2018
6500,Aroush Knapp,Maxwell & Junior,2169 Porsche 911 2dr Cpe GT3 RS,"-17,359,991",6/7/2018
6501,Anwar Hoffman,"Legowart Kingorty, Ltd.",2171 Jeep Grand Cherokee Trackhawk,"-17,388,690",5/11/2018
6502,Ronnie Griffiths,Cheruharrison Auto,2171 Nissan GT-R Premium,"-17,417,388",4/8/2018
6503,Storm William,Mythicgarcia Dealership LTDA,2172 Mercedes-Benz S-Class Cabriolet,"-17,446,087",3/22/2018
6504,Aroush Knapp,Maxwell & Junior,2170 Porsche 911 2dr Cpe GT3 RS,"-17,474,786",6/7/2018
6505,Anwar Hoffman,"Legowart Kingorty, Ltd.",2172 Jeep Grand Cherokee Trackhawk,"-17,503,485",5/11/2018
6506,Ronnie Griffiths,Cheruharrison Auto,2172 Nissan GT-R Premium,"-17,532,184",4/8/2018
6507,Storm William,Mythicgarcia Dealership LTDA,2173 Mercedes-Benz S-Class Cabriolet,"-17,560,883",3/22/2018
6508,Aroush Knapp,Maxwell & Junior,2171 Porsche 911 2dr Cpe GT3 RS,"-17,589,582",6/7/2018
6509,Anwar Hoffman,"Legowart Kingorty, Ltd.",2173 Jeep Grand Cherokee Trackhawk,"-17,618,281",5/11/2018
6510,Ronnie Griffiths,Cheruharrison Auto,2173 Nissan GT-R Premium,"-17,646,980",4/8/2018
6511,Storm William,Mythicgarcia Dealership LTDA,2174 Mercedes-Benz S-Class Cabriolet,"-17,675,679",3/22/2018
6512,Aroush Knapp,Maxwell & Junior,2172 Porsche 911 2dr Cpe GT3 RS,"-17,704,377",6/7/2018
6513,Anwar Hoffman,"Legowart Kingorty, Ltd.",2174 Jeep Grand Cherokee Trackhawk,"-17,733,076",5/11/2018
6514,Ronnie Griffiths,Cheruharrison Auto,2174 Nissan GT-R Premium,"-17,761,775",4/8/2018
6515,Storm William,Mythicgarcia Dealership LTDA,2175 Mercedes-Benz S-Class Cabriolet,"-17,790,474",3/22/2018
6516,Aroush Knapp,Maxwell & Junior,2173 Porsche 911 2dr Cpe GT3 RS,"-17,819,173",6/7/2018
6517,Anwar Hoffman,"Legowart Kingorty, Ltd.",2175 Jeep Grand Cherokee Trackhawk,"-17,847,872",5/11/2018
6518,Ronnie Griffiths,Cheruharrison Auto,2175 Nissan GT-R Premium,"-17,876,571",4/8/2018
6519,Storm William,Mythicgarcia Dealership LTDA,2176 Mercedes-Benz S-Class Cabriolet,"-17,905,270",3/22/2018
6520,Aroush Knapp,Maxwell & Junior,2174 Porsche 911 2dr Cpe GT3 RS,"-17,933,969",6/7/2018
6521,Anwar Hoffman,"Legowart Kingorty, Ltd.",2176 Jeep Grand Cherokee Trackhawk,"-17,962,668",5/11/2018
6522,Ronnie Griffiths,Cheruharrison Auto,2176 Nissan GT-R Premium,"-17,991,366",4/8/2018
6523,Storm William,Mythicgarcia Dealership LTDA,2177 Mercedes-Benz S-Class Cabriolet,"-18,020,065",3/22/2018
6524,Aroush Knapp,Maxwell & Junior,2175 Porsche 911 2dr Cpe GT3 RS,"-18,048,764",6/7/2018
6525,Anwar Hoffman,"Legowart Kingorty, Ltd.",2177 Jeep Grand Cherokee Trackhawk,"-18,077,463",5/11/2018
6526,Ronnie Griffiths,Cheruharrison Auto,2177 Nissan GT-R Premium,"-18,106,162",4/8/2018
6527,Storm William,Mythicgarcia Dealership LTDA,2178 Mercedes-Benz S-Class Cabriolet,"-18,134,861",3/22/2018
6528,Aroush Knapp,Maxwell & Junior,2176 Porsche 911 2dr Cpe GT3 RS,"-18,163,560",6/7/2018
6529,Anwar Hoffman,"Legowart Kingorty, Ltd.",2178 Jeep Grand Cherokee Trackhawk,"-18,192,259",5/11/2018
6530,Ronnie Griffiths,Cheruharrison Auto,2178 Nissan GT-R Premium,"-18,220,958",4/8/2018
6531,Storm William,Mythicgarcia Dealership LTDA,2179 Mercedes-Benz S-Class Cabriolet,"-18,249,657",3/22/2018
6532,Aroush Knapp,Maxwell & Junior,2177 Porsche 911 2dr Cpe GT3 RS,"-18,278,355",6/7/2018
6533,Anwar Hoffman,"Legowart Kingorty, Ltd.",2179 Jeep Grand Cherokee Trackhawk,"-18,307,054",5/11/2018
6534,Ronnie Griffiths,Cheruharrison Auto,2179 Nissan GT-R Premium,"-18,335,753",4/8/2018
6535,Storm William,Mythicgarcia Dealership LTDA,2180 Mercedes-Benz S-Class Cabriolet,"-18,364,452",3/22/2018
6536,Aroush Knapp,Maxwell & Junior,2178 Porsche 911 2dr Cpe GT3 RS,"-18,393,151",6/7/2018
6537,Anwar Hoffman,"Legowart Kingorty, Ltd.",2180 Jeep Grand Cherokee Trackhawk,"-18,421,850",5/11/2018
6538,Ronnie Griffiths,Cheruharrison Auto,2180 Nissan GT-R Premium,"-18,450,549",4/8/2018
6539,Storm William,Mythicgarcia Dealership LTDA,2181 Mercedes-Benz S-Class Cabriolet,"-18,479,248",3/22/2018
6540,Aroush Knapp,Maxwell & Junior,2179 Porsche 911 2dr Cpe GT3 RS,"-18,507,947",6/7/2018
6541,Anwar Hoffman,"Legowart Kingorty, Ltd.",2181 Jeep Grand Cherokee Trackhawk,"-18,536,646",5/11/2018
6542,Ronnie Griffiths,Cheruharrison Auto,2181 Nissan GT-R Premium,"-18,565,344",4/8/2018
6543,Storm William,Mythicgarcia Dealership LTDA,2182 Mercedes-Benz S-Class Cabriolet,"-18,594,043",3/22/2018
6544,Aroush Knapp,Maxwell & Junior,2180 Porsche 911 2dr Cpe GT3 RS,"-18,622,742",6/7/2018
6545,Anwar Hoffman,"Legowart Kingorty, Ltd.",2182 Jeep Grand Cherokee Trackhawk,"-18,651,441",5/11/2018
6546,Ronnie Griffiths,Cheruharrison Auto,2182 Nissan GT-R Premium,"-18,680,140",4/8/2018
6547,Storm William,Mythicgarcia Dealership LTDA,2183 Mercedes-Benz S-Class Cabriolet,"-18,708,839",3/22/2018
6548,Aroush Knapp,Maxwell & Junior,2181 Porsche 911 2dr Cpe GT3 RS,"-18,737,538",6/7/2018
6549,Anwar Hoffman,"Legowart Kingorty, Ltd.",2183 Jeep Grand Cherokee Trackhawk,"-18,766,237",5/11/2018
6550,Ronnie Griffiths,Cheruharrison Auto,2183 Nissan GT-R Premium,"-18,794,936",4/8/2018
6551,Storm William,Mythicgarcia Dealership LTDA,2184 Mercedes-Benz S-Class Cabriolet,"-18,823,635",3/22/2018
6552,Aroush Knapp,Maxwell & Junior,2182 Porsche 911 2dr Cpe GT3 RS,"-18,852,333",6/7/2018
6553,Anwar Hoffman,"Legowart Kingorty, Ltd.",2184 Jeep Grand Cherokee Trackhawk,"-18,881,032",5/11/2018
6554,Ronnie Griffiths,Cheruharrison Auto,2184 Nissan GT-R Premium,"-18,909,731",4/8/2018
6555,Storm William,Mythicgarcia Dealership LTDA,2185 Mercedes-Benz S-Class Cabriolet,"-18,938,430",3/22/2018
6556,Aroush Knapp,Maxwell & Junior,2183 Porsche 911 2dr Cpe GT3 RS,"-18,967,129",6/7/2018
6557,Anwar Hoffman,"Legowart Kingorty, Ltd.",2185 Jeep Grand Cherokee Trackhawk,"-18,995,828",5/11/2018
6558,Ronnie Griffiths,Cheruharrison Auto,2185 Nissan GT-R Premium,"-19,024,527",4/8/2018
6559,Storm William,Mythicgarcia Dealership LTDA,2186 Mercedes-Benz S-Class Cabriolet,"-19,053,226",3/22/2018
6560,Aroush Knapp,Maxwell & Junior,2184 Porsche 911 2dr Cpe GT3 RS,"-19,081,925",6/7/2018
6561,Anwar Hoffman,"Legowart Kingorty, Ltd.",2186 Jeep Grand Cherokee Trackhawk,"-19,110,624",5/11/2018
6562,Ronnie Griffiths,Cheruharrison Auto,2186 Nissan GT-R Premium,"-19,139,322",4/8/2018
6563,Storm William,Mythicgarcia Dealership LTDA,2187 Mercedes-Benz S-Class Cabriolet,"-19,168,021",3/22/2018
6564,Aroush Knapp,Maxwell & Junior,2185 Porsche 911 2dr Cpe GT3 RS,"-19,196,720",6/7/2018
6565,Anwar Hoffman,"Legowart Kingorty, Ltd.",2187 Jeep Grand Cherokee Trackhawk,"-19,225,419",5/11/2018
6566,Ronnie Griffiths,Cheruharrison Auto,2187 Nissan GT-R Premium,"-19,254,118",4/8/2018
6567,Storm William,Mythicgarcia Dealership LTDA,2188 Mercedes-Benz S-Class Cabriolet,"-19,282,817",3/22/2018
6568,Aroush Knapp,Maxwell & Junior,2186 Porsche 911 2dr Cpe GT3 RS,"-19,311,516",6/7/2018
6569,Anwar Hoffman,"Legowart Kingorty, Ltd.",2188 Jeep Grand Cherokee Trackhawk,"-19,340,215",5/11/2018
6570,Ronnie Griffiths,Cheruharrison Auto,2188 Nissan GT-R Premium,"-19,368,914",4/8/2018
6571,Storm William,Mythicgarcia Dealership LTDA,2189 Mercedes-Benz S-Class Cabriolet,"-19,397,613",3/22/2018
6572,Aroush Knapp,Maxwell & Junior,2187 Porsche 911 2dr Cpe GT3 RS,"-19,426,311",6/7/2018
6573,Anwar Hoffman,"Legowart Kingorty, Ltd.",2189 Jeep Grand Cherokee Trackhawk,"-19,455,010",5/11/2018
6574,Ronnie Griffiths,Cheruharrison Auto,2189 Nissan GT-R Premium,"-19,483,709",4/8/2018
6575,Storm William,Mythicgarcia Dealership LTDA,2190 Mercedes-Benz S-Class Cabriolet,"-19,512,408",3/22/2018
6576,Aroush Knapp,Maxwell & Junior,2188 Porsche 911 2dr Cpe GT3 RS,"-19,541,107",6/7/2018
6577,Anwar Hoffman,"Legowart Kingorty, Ltd.",2190 Jeep Grand Cherokee Trackhawk,"-19,569,806",5/11/2018
6578,Ronnie Griffiths,Cheruharrison Auto,2190 Nissan GT-R Premium,"-19,598,505",4/8/2018
6579,Storm William,Mythicgarcia Dealership LTDA,2191 Mercedes-Benz S-Class Cabriolet,"-19,627,204",3/22/2018
6580,Aroush Knapp,Maxwell & Junior,2189 Porsche 911 2dr Cpe GT3 RS,"-19,655,903",6/7/2018
6581,Anwar Hoffman,"Legowart Kingorty, Ltd.",2191 Jeep Grand Cherokee Trackhawk,"-19,684,602",5/11/2018
6582,Ronnie Griffiths,Cheruharrison Auto,2191 Nissan GT-R Premium,"-19,713,300",4/8/2018
6583,Storm William,Mythicgarcia Dealership LTDA,2192 Mercedes-Benz S-Class Cabriolet,"-19,741,999",3/22/2018
6584,Aroush Knapp,Maxwell & Junior,2190 Porsche 911 2dr Cpe GT3 RS,"-19,770,698",6/7/2018
6585,Anwar Hoffman,"Legowart Kingorty, Ltd.",2192 Jeep Grand Cherokee Trackhawk,"-19,799,397",5/11/2018
6586,Ronnie Griffiths,Cheruharrison Auto,2192 Nissan GT-R Premium,"-19,828,096",4/8/2018
6587,Storm William,Mythicgarcia Dealership LTDA,2193 Mercedes-Benz S-Class Cabriolet,"-19,856,795",3/22/2018
6588,Aroush Knapp,Maxwell & Junior,2191 Porsche 911 2dr Cpe GT3 RS,"-19,885,494",6/7/2018
6589,Anwar Hoffman,"Legowart Kingorty, Ltd.",2193 Jeep Grand Cherokee Trackhawk,"-19,914,193",5/11/2018
6590,Ronnie Griffiths,Cheruharrison Auto,2193 Nissan GT-R Premium,"-19,942,892",4/8/2018
6591,Storm William,Mythicgarcia Dealership LTDA,2194 Mercedes-Benz S-Class Cabriolet,"-19,971,591",3/22/2018
6592,Aroush Knapp,Maxwell & Junior,2192 Porsche 911 2dr Cpe GT3 RS,"-20,000,289",6/7/2018
6593,Anwar Hoffman,"Legowart Kingorty, Ltd.",2194 Jeep Grand Cherokee Trackhawk,"-20,028,988",5/11/2018
6594,Ronnie Griffiths,Cheruharrison Auto,2194 Nissan GT-R Premium,"-20,057,687",4/8/2018
6595,Storm William,Mythicgarcia Dealership LTDA,2195 Mercedes-Benz S-Class Cabriolet,"-20,086,386",3/22/2018
6596,Aroush Knapp,Maxwell & Junior,2193 Porsche 911 2dr Cpe GT3 RS,"-20,115,085",6/7/2018
6597,Anwar Hoffman,"Legowart Kingorty, Ltd.",2195 Jeep Grand Cherokee Trackhawk,"-20,143,784",5/11/2018
6598,Ronnie Griffiths,Cheruharrison Auto,2195 Nissan GT-R Premium,"-20,172,483",4/8/2018
